;bach;chopin;debussy;mendelssohn;messiaen;poulenc;rachmaninov;ravel;schubert;scriabine;
bach;896;1;4;12;0;1;0;0;6;0;
chopin;19;230;47;30;11;21;31;7;37;27;
debussy;0;12;390;7;5;5;11;34;7;9;
mendelssohn;12;14;9;360;2;7;21;12;8;15;
messiaen;1;1;18;2;352;1;8;22;2;13;
poulenc;17;12;0;1;0;403;1;1;5;0;
rachmaninov;3;46;43;24;3;17;142;12;25;45;
ravel;2;7;41;9;30;20;5;203;4;19;
schubert;42;26;11;21;5;17;31;23;120;4;
scriabine;10;6;20;13;4;6;21;13;22;285;4580
;;;;;;;;;;;
;;;;;;;;;;;
;bach;chopin;debussy;mendelssohn;messiaen;poulenc;rachmaninov;ravel;schubert;scriabine;
bach;19,56%;0,02%;0,09%;0,26%;0,00%;0,02%;0,00%;0,00%;0,13%;0,00%;
chopin;0,41%;5,02%;1,03%;0,66%;0,24%;0,46%;0,68%;0,15%;0,81%;0,59%;
debussy;0,00%;0,26%;8,52%;0,15%;0,11%;0,11%;0,24%;0,74%;0,15%;0,20%;
mendelssohn;0,26%;0,31%;0,20%;7,86%;0,04%;0,15%;0,46%;0,26%;0,17%;0,33%;
messiaen;0,02%;0,02%;0,39%;0,04%;7,69%;0,02%;0,17%;0,48%;0,04%;0,28%;
poulenc;0,37%;0,26%;0,00%;0,02%;0,00%;8,80%;0,02%;0,02%;0,11%;0,00%;
rachmaninov;0,07%;1,00%;0,94%;0,52%;0,07%;0,37%;3,10%;0,26%;0,55%;0,98%;
ravel;0,04%;0,15%;0,90%;0,20%;0,66%;0,44%;0,11%;4,43%;0,09%;0,41%;
schubert;0,92%;0,57%;0,24%;0,46%;0,11%;0,37%;0,68%;0,50%;2,62%;0,09%;
scriabine;0,22%;0,13%;0,44%;0,28%;0,09%;0,13%;0,46%;0,28%;0,48%;6,22%;